0:00:00.13,0:00:00.96	مُدَرِّس
0:00:02.53,0:00:03.13	طالِبة
0:00:04.53,0:00:05.15	طَبيبَة
0:00:06.25,0:00:07.17	مُهَنْدِس
0:00:08.77,0:00:09.24	أخ
0:00:10.34,0:00:10.85	أُخْت
0:00:12.30,0:00:13.06	صَديق
0:00:13.99,0:00:14.67	صَدِيقَة
0:00:16.36,0:00:16.80	أَنا
0:00:18.19,0:00:18.61	أَنا
0:00:20.23,0:00:20.83	أَنْتَ
0:00:22.11,0:00:22.71	أَنْتِ
0:00:24.41,0:00:25.11	هَذَا
0:00:26.78,0:00:27.55	هَذِهِ
0:00:29.19,0:00:29.58	هُوَ
0:00:31.23,0:00:31.72	هِيَ
0:00:33.50,0:00:34.58	باكِسْتان
0:00:36.67,0:00:37.40	تُرْكِيا
0:00:39.18,0:00:39.71	مِصْر
0:00:41.44,0:00:42.18	سورِيا
0:00:44.53,0:00:45.60	باكِسْتانيّ
0:00:46.98,0:00:47.84	تُرْكِيَّة
0:00:49.84,0:00:50.59	مِصْرِيّ
0:00:52.26,0:00:53.10	سورِيَّة
	
