0:00:00.44,0:00:01.31	لَحْم
0:00:02.72,0:00:03.77	دَجَاجٌ
0:00:05.52,0:00:06.71	سَمَكٌ
0:00:08.84,0:00:09.64	أَرُز
0:00:11.94,0:00:12.86	سَلَطَةٌ
0:00:15.11,0:00:16.20	فَاكِهَة
0:00:18.35,0:00:19.91	مِئَةُ كِيلٍ
0:00:21.04,0:00:22.13	شاي
0:00:24.44,0:00:25.26	قَهْوَةٌ
0:00:27.39,0:00:28.48	ماء
0:00:30.60,0:00:31.46	تَمْر
0:00:33.66,0:00:34.88	حَليب
0:00:37.03,0:00:38.28	طَعام
0:00:40.52,0:00:41.86	شَراب
0:00:43.53,0:00:44.84	ضُيوف
0:00:46.81,0:00:48.02	مائِدَة
0:00:50.05,0:00:51.64	جَوْعَان
0:00:53.81,0:00:54.68	وَجْبَة
0:00:56.87,0:00:57.89	فَطور
0:01:00.17,0:01:01.23	غَداء
0:01:03.62,0:01:04.65	عَشاء
0:01:06.72,0:01:07.91	يأْكُل
0:01:10.08,0:01:11.33	يَشْرَبُ
0:01:13.34,0:01:14.66	يَطْلُبُ
0:01:16.60,0:01:17.62	وَزْنٌ
0:01:19.95,0:01:21.20	كَثير
0:01:23.47,0:01:24.73	قَليل
0:01:26.74,0:01:28.00	نَحِيفٌ
0:01:30.03,0:01:31.24	سَمِينٌ
	
