0:00:00.00,0:00:03.16	المَدَارِسُ وَالمَعَاهِدُ العِلْمِيَّة
0:00:04.72,0:00:09.35	لَمْ يكُنِ المَسْجِدُ في الماضِي مَكانَ عِبادَةٍ فَقَطْ ؛
0:00:09.35,0:00:14.05	بَلْ كانَ مَدْرَسَةً يَتَعَلَّمُ فيها المُسْلِمونَ القِرَاءةَ
0:00:14.05,0:00:17.68	والكِتَابَةَ والقُرآن وَعُلومَ الشَّريعَةِ ،
0:00:17.68,0:00:20.72	واللُّغَةَ والعُلومَ المُخْتَلِفَةَ .
0:00:20.72,0:00:24.63	ثُمَّ أُقيمَ الكُتّابُ بِجانِبِ المَسْجِدِ ،
0:00:24.63,0:00:29.63	وخُصِّصَ لِتَعليمِ القِراءَةِ والكِتابَةِ والقُرآنِ ،
0:00:29.63,0:00:32.96	وشَيءٍ مِنْ عُلومِ العَرَبِيَّةِ .
0:00:33.53,0:00:38.43	كانَ الكُتّابُ يُشْبِهُ المَدْرَسَةَ الابْتِدائِيَّةَ في عَصْرِنا الحاضِرِ ،
0:00:38.43,0:00:40.62	وَكانَ مِنَ الكَثْرَةِ
0:00:40.62,0:00:44.31	بِحَيْثُ كانَ هُناكَ نَحْوُ ثلاثِمائِة كُتّابٍ
0:00:44.31,0:00:46.31	في المَدينَةِ الواحِدَةِ .
0:00:46.31,0:00:49.95	وكانَ الكُتّابُ الواحِدُ يَضُمُّ – أَحْياناً –
0:00:49.95,0:00:53.73	مِئاتٍ أو آلافاً مِنَ الطُّلابِ .
0:00:54.60,0:00:58.82	ثُمَّ قامَتِ المَدْرَسَةُ بِجَانِبِ الكُتَّابِ والمَسْجِدِ ،
0:00:58.82,0:01:05.55	وكَانَتِ الدِّرَاسَةُ فِيها تُشْبِهُ الدِّرَاسَةَ الثانَويَّةَ والعالِيَةَ في عَصْرِنَا الحاضِرِ ،
0:01:06.22,0:01:09.18	وكانَ التَّعليمُ فِيها مَجّاناً .
0:01:09.18,0:01:13.97	ولَمْ يَكُنِ التَّعليمُ فِيها خاصّاً بِطائِفَةٍ مِنَ النّاسِ ،
0:01:13.97,0:01:19.39	بَلْ كانَ يَجْلِسُ في المَدارِسِ ابنُ الفقَيرِ بِجَانِبِ ابنِ الغَنِيِّ ،
0:01:19.39,0:01:23.88	وابنُ التَاجِرِ بِجانِبِ ابن ِالصّانِع ِوالمُزَارِعِ .
0:01:23.88,0:01:27.32	وكانَتِ الدِّراسَةُ فِيها قِسْمَينِ :
0:01:27.32,0:01:33.55	قِسْماً داخِليّاً لِلْغُرَباءِ أو الَّذِينَ لا تُساعِدُهُمْ أَحْوالُهُمُ المادِّيَّةُ ،
0:01:33.55,0:01:37.40	على أَنْ يَعِيشوا على نَفَقاتِ آبائِهِم ،
