0:00:00.00,0:00:01.13	الْعَــولَمَة
0:00:02.39,0:00:06.74	هُناكَ مَنْ يَرى فى العَوْلَمَةِ دَعْوَةًَ إِلى تَقْسيمِ العَمَلِ ،
0:00:06.74,0:00:12.85	وانتِشارِ التِّقانَةِ الحَديثَةِ مِنْ مَراكِزِها فى العالَمِ المُتَقَدِّمِ اقتِصادِيّاً
0:00:12.85,0:00:15.47	إِلى أقْصى أطْرافِ الأْرضِ ،
0:00:15.47,0:00:18.51	ومن ثَمَّ زيادَةُ الإِنتاجِ
0:00:18.51,0:00:20.51	وهو فى سبيلِ ذلكِ ،
0:00:20.51,0:00:24.93	مُستَعِدٌّ لأَن يَغْفِرَ للعَوْلَمَةِ أىَّ تأثيرٍ سَلْبِىٍّ ،
0:00:24.93,0:00:28.96	يُمْكِنُ أنْ يَنْتُجَ عنها على الهُوِيَّةِ الثَّقافِيَّة
0:00:28.96,0:00:31.41	بل هومُسْتَعِدٌ للقَولِ
0:00:31.41,0:00:35.40	بِأَنَّ هذا الأثَرَ السَّلْبِى على الهُوِيَّةِ يَسيرُ
0:00:35.40,0:00:37.78	بل قد يَذهَبُ إِلى القَولِ
0:00:37.78,0:00:42.94	بأنّ الهُوِيَّةَ الثَّقافِيَّةَ سوفَ تُفيدُ مِنَ العَوْلَمَةِ
0:00:42.94,0:00:48.46	وهناكَ المَفتونونَ بالمَديِنَّةِ الغَرْبِيَّةِ بِوَجْهٍ عامٍّ
0:00:48.46,0:00:50.98	ليسَ بِنِتاجِها المادِّىِّ فَقَط ،
0:00:50.98,0:00:55.14	بَلْ فى مَجالِ نَقْلِ المَعلوماتِ وتَخزينِها وتوفيرِها ،
0:00:55.14,0:00:57.14	وبِما حَقَّقَهُ الغَربُ
0:00:57.14,0:01:00.78	فى المجالِ السِّياسِىِّ والاجتِماعِىِّ والثَّقافىِّ
0:01:00.78,0:01:04.84	أولئكَ المَفتونونَ بالديموقْراطِيَّةِ الغَربِيَّةِ
0:01:04.84,0:01:07.66	وبالعلاقاتِ الاجتِماعِيَّةِ الغَرْبِيَّةِ
0:01:07.66,0:01:10.44	وبالإِنْتاجِ الثَّقافِىِّ فى الغَرْبِ
0:01:10.44,0:01:12.44	ويَتَمَنَّون لِشُعوبِهِم
0:01:12.44,0:01:15.78	سُرْعَةَ اللِّحاقِ بِكُلِّ هذِهِ الإِنجازاتِ،
0:01:15.78,0:01:19.61	ويَجِدونَ فى العَوْلَمَة السَّبيلَ إِلى ذلك
0:01:19.61,0:01:21.69	ومِن هؤلاءِ
0:01:21.69,0:01:25.76	مَنْ لا تُثيرُ لَدَيهِمْ مَسْأَلَةُ الهُوِيَّةِ الثَّقافِيَّةِ
0:01:25.76,0:01:27.36	إِلا السُّخْرِيَةَ
0:01:27.36,0:01:32.31	فَهِى عِندَهُم تَعنى التَّخَلُّفَ والجَهْلَ والفَقْرَ
0:01:32.31,0:01:35.74	هناكَ أيْضاً الكارِهونَ للعَوْلَمَةِ
0:01:35.74,0:01:38.80	وَلَديهِمْ أسْبابٌ لِهذِهِ الكَراهِيَةِ
0:01:38.80,0:01:40.69	فهناكَ مَنْ يَكْرَهُها
0:01:40.69,0:01:44.81	لأنَّ فيها مَزيداً مِنَ الاستِغلالِ الاقْتِصادِىِّ
