0:00:00.02,0:00:02.55	الدِّينُ يَدعُو لِلنَّظَافَةِ
0:00:02.55,0:00:06.75	النَّظافَةُ ضَرورِيَّةٌ في كُلِّ شَىءٍ ،
0:00:06.75,0:00:10.40	وقَدْ حَثَّ الدّينُ على نَظافَةِ أجسامِنا ،
0:00:10.57,0:00:13.99	ونَظافَةِ المَسْكَنِ الذي نَأوي إِلَيهِ ،
0:00:13.99,0:00:17.36	ونَظافَةِ المَسْجِدِ الذي نُصَلِّى فيهِ ،
0:00:17.36,0:00:20.74	ونَظافَةِ المَكانِ الذي نَعْمَلُ فيهِ ،
0:00:20.74,0:00:24.20	ونَظافَةِ المَلابِسِ التي نَرتَديها .
0:00:24.20,0:00:28.90	وقَدْ جَعَلَ اللهُ النَّظافَةَ والطَّهارَةَ شَرْطاً
0:00:28.90,0:00:32.18	لا تتَِمُّ بعضُ العباداتِ إِلا بِهِ ،
0:00:32.18,0:00:35.83	فالصَّلاةُ لا تُقْبَلُ إِلا بالطَّهارَةِ .
0:00:35.83,0:00:38.60	قالَ اللهُ تَعالى
0:00:38.60,0:00:47.40	: " يَآأَيُّهَا الَّذِينَ ءَامَنُواْ إِذَا قُمْتُمْ إِلَى الصَلاةِ فَاغْسِلُواْ وُجُوهَكُمْ وَأَيْدِيَكُمْ إِلَى الْمَرَافِقِ
0:00:47.40,0:00:53.46	وامْسَحُواْ بِرُءُوسِكُمْ وَأَرْجُلَكُمْ إِلَى الكَعْبَيْنِ
0:00:53.46,0:00:58.16	وَإِن كُنتُمْ جُنُباً فَاطَّهَّرُواْ " .
0:00:58.16,0:01:01.55	ومِن شُروطِ الصَّلاةِ أيضاً ،
0:01:01.55,0:01:04.67	طَهارَةُ المَكانِ الذي نُصَلّى فيهِ ،
0:01:04.67,0:01:08.08	وطَهارَةُ المَلابِسِ التي نَرْتَديها .
0:01:08.08,0:01:12.18	ولا يُمَسُّ المُصْحَفُ إِلا بِطَهارَةٍ .
0:01:12.18,0:01:14.97	قال تعالى
0:01:14.97,0:01:18.71	" إِنَّهُ لَقُرْءَانٌ كَرِيمٌ *
0:01:18.71,0:01:21.60	فِي كِتَابٍ مَّكْنونِ *
0:01:21.60,0:01:25.52	لايَمَسُّهُ إِلاَّ الْمُطَهَّرُونَ " .
0:01:25.52,0:01:29.73	كان الرَّسولُ – صَلّى اللهُ علَيهِ وَسَلَّمَ – ، يَحْرِصُ على أنْ يَكونَ المُسْلِمُ نَظيفاً في ملابِسِهِ ، وجَسَدِهِ .
0:01:29.73,0:01:35.03	وكان يَحُثُّ على السِّواكِ ؛ لأنَّهُ مَطْهَرَةٌ للْفَمِ .
0:01:35.03,0:01:38.12	وكان يَحُثُّ على السِّواكِ ؛
0:01:38.12,0:01:41.12	لأنَّهُ مَطْهَرَةٌ للْفَمِ .
0:01:41.12,0:01:44.43	يَقولُ صَلّى اللهُ علَيه ِوَسَلَّمَ :
