0:00:00.00,0:00:02.41	مَفْهُومُ الأمْنِ في الإسْلامِ
0:00:04.92,0:00:09.13	الأَمْنُ في الدُّنيا نِعْمَةٌ مِنَ النِّعَمِ الكُبرى
0:00:09.13,0:00:14.27	الَّتي مَنَّ اللهُ بِها عَلى عِبادِهِ المُؤمِنينَ الصالحِينَ
0:00:14.27,0:00:19.23	فَهُوَ سَبيلٌ لِلرّاحَةِ والطُّمَأنينَةِ
0:00:19.23,0:00:22.61	وطَريقٌ لِلرَّخاءِ والاسْتِقْرارِ
0:00:22.61,0:00:28.66	قالَ تَعالى " فَلْيَعْبُدُواْ رَبَّ هَذَا الْبَيْتِ
0:00:28.87,0:00:34.25	الَّذِى أَطْعَمَهُم مِن جُوعٍ وَءامَنَهُم مِنْ خَوْف "
0:00:34.25,0:00:38.30	وعَدَ اللهُ رَسولَهُ – عَلَيهِ الصّلاةُ والسّلامُ –
0:00:38.30,0:00:45.88	أنْ يَجْعَلَ المؤمِنينَ خُلفاءَ في الأرْضِ أئِمَّةً لِلّناسِ هُداةً مُهْتَدينَ
0:00:45.88,0:00:52.13	وأنْ يُوَفِّرَ لَهُمُ الأَمْنَ مِنْ بَعْدِ الخَوفِ . قالَ تَعالى
0:00:52.13,0:01:02.00	" وَعَدَ اللهُ الَّذِينَ ءَامَنُواْ مِنكُمْ وَعَمِلُواْ الصّالِحَاتِ لَيَسْتَخْلِفَنَّهُمْ في الأَرْضِ كَمَا اسْتَخْلَفَ الَّذِينَ مِن قَبْلِهِمْ
0:01:03.07,0:01:08.63	وَلَيُمَكّنِنَّ لَهُمْ دِينَهُمْ الَّذِي ارْتَضَى لَهُمْ
0:01:08.63,0:01:13.66	وَلَيُبَدِلَنَّهُم مِن بَعْدِ خَوْفِهِمْ أَمْناً
0:01:13.66,0:01:18.64	يَعْبُدُونَنِي لا يُشْركُونَ بِي شَيْئاً
0:01:18.64,0:01:25.07	وَمَن كَفَرَ بَعْدَ ذَلِكَ فَأُوْلَئكَ هُمُ الْفَاسِقُونَ "
0:01:25.07,0:01:31.90	إِنَّ الأَمْنَ الّّذي وَعَدَ اللهُ بِهِ رَسولَهُ الكَريمَ – صَلّى اللهُ عَلَيهِ وَسَلَّمَ –
0:01:31.90,0:01:36.66	وعِبادَهُ المؤمِنينَ الذينَ يَعمَلونَ الصَالِحاتِ
0:01:36.66,0:01:41.59	لا يُقَدَّرُ بِثَمَنٍ في حَياة الأفْرادِ والشُّعوبِ
0:01:41.59,0:01:45.07	فهو سَبَبُ السّعادَةِ والاسْتِقْرارِ
0:01:45.07,0:01:57.09	قالَ تَعالَى " وَضَرَبَ اللهُ مَثَلاً قَرْيَةَ كَانَتْ ءَامِنَة مُّطْمَئِنَّةَ يَأْتِيهَا رِزْقُهَا رَغَداً مِن كُلِ مَكَانٍ
0:01:57.09,0:02:01.64	فَكَفَرَتْ بِـأَنْعُمِ اللهِ
0:02:01.64,0:02:08.52	فَأَذَاقَهَا اللهُ لِبَاسَ الْجُوع والْخَوْفِ بِمَا كَانُواْ يَصْنَعُونَ "
0:02:10.43,0:02:16.04	حَرَّمَ اللهُ سُبْحانَهُ وَتَعالى نَفْس المُؤْمِنِ على صاحِبِها
0:02:16.04,0:02:20.33	وحَرَّمَها على غَيْرِه مِنَ البَشَرِ
