0:00:00.00,0:00:02.02	أَنْواعُ الطّاقَةِ
0:00:03.01,0:00:07.50	إِذا كانَتِ الطّاقَةُ مِنْ أهَمِّ مُقَوِّماتِ الحَياةِ عَلى الأرْضِ
0:00:07.50,0:00:10.68	فإِنّها ليسَتْ نَوعاً واحِداً
0:00:10.68,0:00:15.61	فاللهُ تَعالىِ جَعَلَها لَنا في أشْكالٍ مُخْتَلِفَةٍ
0:00:15.61,0:00:22.57	وجَعَلَها أنْواعاً ومِنْ أنْواعِها :الطّاقَةُ الشَّمْسِيَّةُ :
0:00:22.57,0:00:28.35	الشَّمْسُ مَصْدَرُ طاقَةٍ لا يَنْتَهي إِلا بإِذْنِ اللهِ
0:00:28.35,0:00:32.08	فَهِيَ التي تَمُدُّ الأرْضَ بالضَّوءِ والحَرارَةِ
0:00:32.08,0:00:35.60	وتُساعِدُ عَلى اسْتِمْرارِ الحَياةِ عَليها
0:00:35.60,0:00:42.52	وتَحْتاجُ النّباتاتُ إِلى ضَوءِ الشَّمْسِ مُباشَرَةً في تَرْكيبِ المَوادِّ النّباتِيَّةِ
0:00:42.52,0:00:50.68	وقدْ بَدَأ الإِنْسانُ في الآوِنَةِ الأخيرَةِ باسْتِخْدامِ أشِعّةِ الشَّمْسِ في أغْراضٍ مَنْـزِلِيَّةٍ وصِناعِيَّةٍ
0:00:50.68,0:00:57.52	وتَعْتَمِدُ الوَسائِلُ المُسْتَعْمَلةُ على تَحويلِ الطّاقَةِ الشَّمْسِيَّةِ مِنْ أشِعَّةِ الشَّمْسِ
0:00:57.52,0:01:02.47	إِلى طاقَةٍ حَرارِيَّةٍ أو إِلى طاقَةٍ كَهْرَبائِيَّةٍ
0:01:02.47,0:01:07.96	وهُناكَ الآنَ أَجْهِزَةُ خاصَّةُ توضَعُ عَلى سُطوحِ المَنازِلِ
0:01:07.96,0:01:09.96	تَمْتَصُّ أشِعَّةِ الشَّمْسِ
0:01:09.96,0:01:16.08	وتُحَوِّلُها إِلى حَرارَةٍ وتُسَخَّنُ بها المِياهُ المُسْتَعْمَلَةُ في المَنازِلِ .
0:01:16.08,0:01:21.08	واخْتَرَعَ العُلماءُ أيضاً نَوعاً مِنَ الخَلايا
0:01:21.08,0:01:26.97	تَمتَصُّ أشِعَّةَ الشَّمْسِ وتُحَوِّلُها إِلى تَيّارٍ كَهْرَبائِىٍّ .
0:01:26.97,0:01:30.36	الطّاقَةُ الميكانيكِيَّةُ :
0:01:30.36,0:01:34.84	الطّاقَةُ الميكانيكِيَّةُ شَكْلُ مِنْ أشْكالِ الطّاقَةِ
0:01:34.84,0:01:39.79	التي تَكْتَسِبُها الأدَواتُ والآلآتُ والأجْسامُ المُخْتَلِفَةُ
0:01:39.79,0:01:44.30	ممّا يَجْعَلُها قادِرَةً عَلى تَحريكِ بعضِ الأشياءِ
0:01:44.30,0:01:49.93	والطّاقَةُ الميكانيكِيَّةُ تَحْدُثُ إِمّا بِسَبَبِ وَضْعِ الجِسْمِ
0:01:49.93,0:01:52.44	أوبِسَبَبِ حَرَكَةِ الجِسْمِ
0:01:52.44,0:02:00.07	والرِّياحِ الشَّديدَةِ والمِياهِ الجارِيَةُ بِسُرْعَةٍ أو المُتَساقِطَةِ في الشَّلالاتِ
0:02:00.07,0:02:04.48	فالرِّياحُ تُحَرِّكُ الأجسامَ الواقِعَةَ في طريقِها
0:02:04.48,0:02:10.13	وكَذلِكَ المِياهُ الجارِيَةُ تَجْرُفُ الصُّخورَ أو تُحَرِّكُ النَّواعيرَ
0:02:10.13,0:02:12.75	أو حَجَرَ الرَّحَى في الطَّواحينِ
0:02:12.75,0:02:17.21	وقَدِ اسْتَخْدَمَ الإِنْسانُ مُنْذُ القِدَمِ طاقَةَ الرِّياحِ
0:02:17.30,0:02:19.73	لتَسييرِ السُّفُنِ الشِّراعِيَّةِ
0:02:19.71,0:02:25.83	يَسْتَفيدُ النّاسُ مِنْ قُوَّةِ الرِّياحِ في كَثيرٍ مِنْ مَناطِقِ العالَمِ
0:02:25.83,0:02:31.94	فَهِي التي تُشَغِّلُ الطَّواحينَ الهَوائِيَّةَ وتُحَرِّكُ السُّفُنَ الشِّراعِيَّةَ
0:02:31.94,0:02:37.27	وهِيَ مَصْدَرُ نَظيِفُ لِلطّاقَةِ لا يُلَوِّثُ البيئَةَ
0:02:37.27,0:02:41.59	كَما أنَّها مُتَوَفِّرةُ بِكمِّياتٍ كَبيرَةٍ
0:02:41.59,0:02:48.22	والطّاقَةُ الميكانيكِيَّةُ أساسُ لِكَثيرٍ مِنْ مَظاهِرِ الصِّناعَةِ في العَصْرِ الحَديثِ
0:02:48.22,0:02:52.92	فَبِها تَتَحَرَّكُ السَيّاراتُ وتَطيرُ الطائِراتُ
0:02:52.92,0:02:58.25	وتُبْحِرُ السُّفُنُ وتَدورُ الآلآتُ في المَصانِعِ .
0:02:58.25,0:03:01.60	الطّاقَةُ الكَهْرَبائِيَّةُ :
0:03:01.60,0:03:06.29	الطّاقَةُ الكَهْرَبَائِيَّةُ مِنْ أَهَمِّ أشْكالِ الطّاقَةِ
0:03:06.29,0:03:14.09	ونَستَخدِمُها في العَديدِ مِنْ حاجاتِنا اليَومِيَّةِ في المنازِلِ والمَعامِلِ الصَّغيرَةِ
0:03:14.09,0:03:19.99	والمَصانِعِ الكَبيرَةِ لِتَشْغيلِ الأجْهِزَةِ والآلاتِ المُخْتَلِفَةِ .
